systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_subdiv;_boundaries;B840;;;MEX-SLP/GRO;b.840;
b_subdiv;_boundaries;B841;;;MEX-SLP/VER;b.841;
b_subdiv;_boundaries;B842;;;MEX-HGO/SLP;b.842;
b_subdiv;_boundaries;B843;;;MEX-NAY/JAL;b.843;
b_subdiv;_boundaries;B844;;;MEX-JAL/COL;b.844;
b_subdiv;_boundaries;B845;;;MEX-JAL/MICH;b.845;
b_subdiv;_boundaries;B846;;;MEX-AGS/JAL;b.846;
b_subdiv;_boundaries;B847;;;MEX-JAL/GTO;b.847;
b_subdiv;_boundaries;B848;;;MEX-GTO/MICH;b.848;
b_subdiv;_boundaries;B849;;;MEX-QRO/GTO;b.849;
b_subdiv;_boundaries;B850;;;MEX-MICH/QRO;b.850;
b_subdiv;_boundaries;B851;;;MEX-EMEX/QRO;b.851;
b_subdiv;_boundaries;B852;;;MEX-HGO/QRO;b.852;
b_subdiv;_boundaries;B853;;;MEX-EMEX/HGO;b.853;
b_subdiv;_boundaries;B854;;;MEX-TLAX/HGO;b.854;
b_subdiv;_boundaries;B855;;;MEX-PUE/HGO;b.855;
b_subdiv;_boundaries;B856;;;MEX-HGO/VER;b.856;
b_subdiv;_boundaries;B857;;;MEX-GRO/MICH;b.857;
b_subdiv;_boundaries;B858;;;MEX-COL/MICH;b.858;
b_subdiv;_boundaries;B859;;;MEX-MICH/EMEX;b.859;
b_subdiv;_boundaries;B860;;;MEX-EMEX/GRO;b.860;
b_subdiv;_boundaries;B861;;;MEX-EMEX/MOR;b.861;
b_subdiv;_boundaries;B862;;;MEX-EMEX/DF;b.862;
b_subdiv;_boundaries;B863;;;MEX-EMEX/MOR;b.863;
b_subdiv;_boundaries;B864;;;MEX-EMEX/PUE;b.864;
b_subdiv;_boundaries;B865;;;MEX-EMEX/TLAX;b.865;
b_subdiv;_boundaries;B866;;;MEX-GRO/OAX;b.866;
b_subdiv;_boundaries;B867;;;MEX-PUE/GRO;b.867;
b_subdiv;_boundaries;B868;;;MEX-MOR/GRO;b.868;
b_subdiv;_boundaries;B869;;;MEX-DF/MOR;b.869;
b_subdiv;_boundaries;B870;;;MEX-PUE/MOR;b.870;
b_subdiv;_boundaries;B871;;;MEX-OAX/PUE;b.871;
b_subdiv;_boundaries;B872;;;MEX-PUE/VER;b.872;
b_subdiv;_boundaries;B873;;;MEX-OAX/VER;b.873;
b_subdiv;_boundaries;B874;;;MEX-PUE/TLAX;b.874;
b_subdiv;_boundaries;B875;;;MEX-CHIS/OAX;b.875;
b_subdiv;_boundaries;B876;;;MEX-CHIS/VER;b.876;
b_subdiv;_boundaries;B877;;;MEX-TAB/VER;b.877;
b_subdiv;_boundaries;B878;;;MEX-CHIS/TAB;b.878;
b_subdiv;_boundaries;B879;;;MEX-CAM/TAB;b.879;
b_subdiv;_boundaries;B880;;;MEX-CAM/QROO;b.880;
b_subdiv;_boundaries;B881;;;MEX-YUC/CAM;b.881;
b_subdiv;_boundaries;B882;;;MEX-QROO/YUC;b.882;
b_subdiv;_boundaries;RUS-AD/KDA;;;;b.rus_ad_kda;
b_subdiv;_boundaries;RUS-AL/ALT;;;;b.rus_al_alt;
b_subdiv;_boundaries;RUS-AL/KEM;;;;b.rus_al_kem;
b_subdiv;_boundaries;RUS-AL/KK;;;;b.rus_al_kk;
b_subdiv;_boundaries;RUS-AL/TY;;;;b.rus_al_ty;
b_subdiv;_boundaries;RUS-ALT/KEM;;;;b.rus_alt_kem;
b_subdiv;_boundaries;RUS-ALT/NVS;;;;b.rus_alt_nvs;
b_subdiv;_boundaries;RUS-AMU/KHA;;;;b.rus_amu_kha;
b_subdiv;_boundaries;RUS-AMU/SA;;;;b.rus_amu_sa;
b_subdiv;_boundaries;RUS-AMU/YEV;;;;b.rus_amu_yev;
b_subdiv;_boundaries;RUS-AMU/ZAB;;;;b.rus_amu_zab;
b_subdiv;_boundaries;RUS-ARK/KIR;;;;b.rus_ark_kir;
b_subdiv;_boundaries;RUS-ARK/KO;;;;b.rus_ark_ko;
b_subdiv;_boundaries;RUS-ARK/KR;;;;b.rus_ark_kr;
b_subdiv;_boundaries;RUS-ARK/NEN;;;;b.rus_ark_nen;
b_subdiv;_boundaries;RUS-ARK/VLG;;;;b.rus_ark_vlg;
b_subdiv;_boundaries;RUS-AST/KL;;;;b.rus_ast_kl;
b_subdiv;_boundaries;RUS-AST/VGG;;;;b.rus_ast_vgg;
b_subdiv;_boundaries;RUS-BA/CHE;;;;b.rus_ba_che;
b_subdiv;_boundaries;RUS-BA/ORE;;;;b.rus_ba_ore;
b_subdiv;_boundaries;RUS-BA/PER;;;;b.rus_ba_per;
b_subdiv;_boundaries;RUS-BA/SVE;;;;b.rus_ba_sve;
b_subdiv;_boundaries;RUS-BA/TA;;;;b.rus_ba_ta;
b_subdiv;_boundaries;RUS-BA/UD;;;;b.rus_ba_ud;
b_subdiv;_boundaries;RUS-BEL/KRS;;;;b.rus_bel_krs;
b_subdiv;_boundaries;RUS-BEL/VOR;;;;b.rus_bel_vor;
b_subdiv;_boundaries;RUS-BRY/KLU;;;;b.rus_bry_klu;
b_subdiv;_boundaries;RUS-BRY/KRS;;;;b.rus_bry_krs;
b_subdiv;_boundaries;RUS-BRY/ORL;;;;b.rus_bry_orl;
b_subdiv;_boundaries;RUS-BRY/SMO;;;;b.rus_bry_smo;
b_subdiv;_boundaries;RUS-BU/IRK;;;;b.rus_bu_irk;
b_subdiv;_boundaries;RUS-BU/TY;;;;b.rus_bu_ty;
b_subdiv;_boundaries;RUS-BU/ZAB;;;;b.rus_bu_zab;
b_subdiv;_boundaries;RUS-CE/DA;;;;b.rus_ce_da;
b_subdiv;_boundaries;RUS-CE/IN;;;;b.rus_ce_in;
b_subdiv;_boundaries;RUS-CE/SE;;;;b.rus_ce_se;
b_subdiv;_boundaries;RUS-CE/STA;;;;b.rus_ce_sta;
b_subdiv;_boundaries;RUS-CHE/KGN;;;;b.rus_che_kgn;
b_subdiv;_boundaries;RUS-CHE/ORE;;;;b.rus_che_ore;
b_subdiv;_boundaries;RUS-CHE/SVE;;;;b.rus_che_sve;
b_subdiv;_boundaries;RUS-CHU/KAM;;;;b.rus_chu_kam;
b_subdiv;_boundaries;RUS-CHU/MAG;;;;b.rus_chu_mag;
b_subdiv;_boundaries;RUS-CHU/SA;;;;b.rus_chu_sa;
b_subdiv;_boundaries;RUS-CU/ME;;;;b.rus_cu_me;
b_subdiv;_boundaries;RUS-CU/MO;;;;b.rus_cu_mo;
b_subdiv;_boundaries;RUS-CU/NIZ;;;;b.rus_cu_niz;
b_subdiv;_boundaries;RUS-CU/TA;;;;b.rus_cu_ta;
b_subdiv;_boundaries;RUS-CU/ULY;;;;b.rus_cu_uly;
b_subdiv;_boundaries;RUS-DA/KL;;;;b.rus_da_kl;
b_subdiv;_boundaries;RUS-DA/STA;;;;b.rus_da_sta;
b_subdiv;_boundaries;RUS-IN/SE;;;;b.rus_in_se;
b_subdiv;_boundaries;RUS-IRK/KYA;;;;b.rus_irk_kya;
b_subdiv;_boundaries;RUS-IRK/SA;;;;b.rus_irk_sa;
b_subdiv;_boundaries;RUS-IRK/TY;;;;b.rus_irk_ty;
b_subdiv;_boundaries;RUS-IRK/ZAB;;;;b.rus_irk_zab;
b_subdiv;_boundaries;RUS-IVA/KOS;;;;b.rus_iva_kos;
b_subdiv;_boundaries;RUS-IVA/NIZ;;;;b.rus_iva_niz;
b_subdiv;_boundaries;RUS-IVA/VLA;;;;b.rus_iva_vla;
b_subdiv;_boundaries;RUS-IVA/YAR;;;;b.rus_iva_yar;
b_subdiv;_boundaries;RUS-KAM/MAG;;;;b.rus_kam_mag;
b_subdiv;_boundaries;RUS-KB/KC;;;;b.rus_kb_kc;
b_subdiv;_boundaries;RUS-KB/SE;;;;b.rus_kb_se;
b_subdiv;_boundaries;RUS-KC/KDA;;;;b.rus_kc_kda;
b_subdiv;_boundaries;RUS-KC/STA;;;;b.rus_kc_sta;
b_subdiv;_boundaries;RUS-KDA/ROS;;;;b.rus_kda_ros;
b_subdiv;_boundaries;RUS-KDA/STA;;;;b.rus_kda_sta;
b_subdiv;_boundaries;RUS-KEM/KK;;;;b.rus_kem_kk;
b_subdiv;_boundaries;RUS-KEM/KYA;;;;b.rus_kem_kya;
b_subdiv;_boundaries;RUS-KEM/NVS;;;;b.rus_kem_nvs;
b_subdiv;_boundaries;RUS-KEM/TOM;;;;b.rus_kem_tom;
b_subdiv;_boundaries;RUS-KGM/KYA;;;;b.rus_kgm_kya;
b_subdiv;_boundaries;RUS-KGM/TOM;;;;b.rus_kgm_tom;
b_subdiv;_boundaries;RUS-KGN/SVE;;;;b.rus_kgn_sve;
b_subdiv;_boundaries;RUS-KGN/TYU;;;;b.rus_kgn_tyu;
b_subdiv;_boundaries;RUS-KHA/MAG;;;;b.rus_kha_mag;
b_subdiv;_boundaries;RUS-KHA/PRI;;;;b.rus_kha_pri;
b_subdiv;_boundaries;RUS-KHA/SA;;;;b.rus_kha_sa;
b_subdiv;_boundaries;RUS-KHA/YEV;;;;b.rus_kha_yev;
b_subdiv;_boundaries;RUS-KHM/KO;;;;b.rus_khm_ko;
b_subdiv;_boundaries;RUS-KHM/SVE;;;;b.rus_khm_sve;
b_subdiv;_boundaries;RUS-KHM/TYU;;;;b.rus_khm_tyu;
b_subdiv;_boundaries;RUS-KHM/YAN;;;;b.rus_khm_yan;
b_subdiv;_boundaries;RUS-KIR/KO;;;;b.rus_kir_ko;
b_subdiv;_boundaries;RUS-KIR/KOS;;;;b.rus_kir_kos;
b_subdiv;_boundaries;RUS-KIR/ME;;;;b.rus_kir_me;
b_subdiv;_boundaries;RUS-KIR/NIZ;;;;b.rus_kir_niz;
b_subdiv;_boundaries;RUS-KIR/PER;;;;b.rus_kir_per;
b_subdiv;_boundaries;RUS-KIR/TA;;;;b.rus_kir_ta;
b_subdiv;_boundaries;RUS-KIR/UD;;;;b.rus_kir_ud;
b_subdiv;_boundaries;RUS-KIR/VLG;;;;b.rus_kir_vlg;
b_subdiv;_boundaries;RUS-KK/KYA;;;;b.rus_kk_kya;
b_subdiv;_boundaries;RUS-KK/TY;;;;b.rus_kk_ty;
b_subdiv;_boundaries;RUS-KL/ROS;;;;b.rus_kl_ros;
b_subdiv;_boundaries;RUS-KL/STA;;;;b.rus_kl_sta;
b_subdiv;_boundaries;RUS-KL/VGG;;;;b.rus_kl_vgg;
b_subdiv;_boundaries;RUS-KLU/MOS;;;;b.rus_klu_mos;
b_subdiv;_boundaries;RUS-KLU/ORL;;;;b.rus_klu_orl;
b_subdiv;_boundaries;RUS-KLU/SMO;;;;b.rus_klu_smo;
b_subdiv;_boundaries;RUS-KLU/TUL;;;;b.rus_klu_tul;
b_subdiv;_boundaries;RUS-KO/NEN;;;;b.rus_ko_nen;
b_subdiv;_boundaries;RUS-KO/PER;;;;b.rus_ko_per;
b_subdiv;_boundaries;RUS-KO/SVE;;;;b.rus_ko_sve;
b_subdiv;_boundaries;RUS-KO/YAN;;;;b.rus_ko_yan;
b_subdiv;_boundaries;RUS-KOS/NIZ;;;;b.rus_kos_niz;
b_subdiv;_boundaries;RUS-KOS/VLG;;;;b.rus_kos_vlg;
b_subdiv;_boundaries;RUS-KOS/YAR;;;;b.rus_kos_yar;
b_subdiv;_boundaries;RUS-KR/MUR;;;;b.rus_kr_mur;
b_subdiv;_boundaries;RUS-KR/VLG;;;;b.rus_kr_vlg;
b_subdiv;_boundaries;RUS-KRS/LIP;;;;b.rus_krs_lip;
b_subdiv;_boundaries;RUS-KRS/ORL;;;;b.rus_krs_orl;
b_subdiv;_boundaries;RUS-KRS/VOR;;;;b.rus_krs_vor;
b_subdiv;_boundaries;RUS-KYA/SA;;;;b.rus_kya_sa;
b_subdiv;_boundaries;RUS-KYA/TOM;;;;b.rus_kya_tom;
b_subdiv;_boundaries;RUS-KYA/TY;;;;b.rus_kya_ty;
b_subdiv;_boundaries;RUS-KYA/YAN;;;;b.rus_kya_yan;
b_subdiv;_boundaries;RUS-LEN/KR;;;;b.rus_len_kr;
b_subdiv;_boundaries;RUS-LEN/KR_2;;;;b.rus_len_kr_2;
b_subdiv;_boundaries;RUS-LEN/NGR;;;;b.rus_len_ngr;
b_subdiv;_boundaries;RUS-LEN/PSK;;;;b.rus_len_psk;
b_subdiv;_boundaries;RUS-LEN/SPE;;;;b.rus_len_spe;
b_subdiv;_boundaries;RUS-LEN/VLG;;;;b.rus_len_vlg;
b_subdiv;_boundaries;RUS-LIP/ORL;;;;b.rus_lip_orl;
b_subdiv;_boundaries;RUS-LIP/RYA;;;;b.rus_lip_rya;
b_subdiv;_boundaries;RUS-LIP/TAM;;;;b.rus_lip_tam;
b_subdiv;_boundaries;RUS-LIP/TUL;;;;b.rus_lip_tul;
b_subdiv;_boundaries;RUS-LIP/VOR;;;;b.rus_lip_vor;
b_subdiv;_boundaries;RUS-MAG/SA;;;;b.rus_mag_sa;
b_subdiv;_boundaries;RUS-ME/NIZ;;;;b.rus_me_niz;
b_subdiv;_boundaries;RUS-ME/TA;;;;b.rus_me_ta;
b_subdiv;_boundaries;RUS-MO/NIZ;;;;b.rus_mo_niz;
b_subdiv;_boundaries;RUS-MO/PNZ;;;;b.rus_mo_pnz;
b_subdiv;_boundaries;RUS-MO/RYA;;;;b.rus_mo_rya;
b_subdiv;_boundaries;RUS-MO/ULY;;;;b.rus_mo_uly;
b_subdiv;_boundaries;RUS-MOS/MOW;;;;b.rus_mos_mow;
b_subdiv;_boundaries;RUS-MOS/RYA;;;;b.rus_mos_rya;
b_subdiv;_boundaries;RUS-MOS/SMO;;;;b.rus_mos_smo;
b_subdiv;_boundaries;RUS-MOS/TUL;;;;b.rus_mos_tul;
b_subdiv;_boundaries;RUS-MOS/TVE;;;;b.rus_mos_tve;
b_subdiv;_boundaries;RUS-MOS/VLA;;;;b.rus_mos_vla;
b_subdiv;_boundaries;RUS-MOS/YAR;;;;b.rus_mos_yar;
b_subdiv;_boundaries;RUS-NEN/YAN;;;;b.rus_nen_yan;
b_subdiv;_boundaries;RUS-NGR/PSK;;;;b.rus_ngr_psk;
b_subdiv;_boundaries;RUS-NGR/TVE;;;;b.rus_ngr_tve;
b_subdiv;_boundaries;RUS-NGR/VLG;;;;b.rus_ngr_vlg;
b_subdiv;_boundaries;RUS-NIZ/RYA;;;;b.rus_niz_rya;
b_subdiv;_boundaries;RUS-NIZ/VLA;;;;b.rus_niz_vla;
b_subdiv;_boundaries;RUS-NVS/OMS;;;;b.rus_nvs_oms;
b_subdiv;_boundaries;RUS-NVS/TOM;;;;b.rus_nvs_tom;
b_subdiv;_boundaries;RUS-OMS/TOM;;;;b.rus_oms_tom;
b_subdiv;_boundaries;RUS-OMS/TYU;;;;b.rus_oms_tyu;
b_subdiv;_boundaries;RUS-ORE/SAM;;;;b.rus_ore_sam;
b_subdiv;_boundaries;RUS-ORE/TA;;;;b.rus_ore_ta;
b_subdiv;_boundaries;RUS-ORL/TUL;;;;b.rus_orl_tul;
b_subdiv;_boundaries;RUS-PER/SVE;;;;b.rus_per_sve;
b_subdiv;_boundaries;RUS-PER/UD;;;;b.rus_per_ud;
b_subdiv;_boundaries;RUS-PNZ/RYA;;;;b.rus_pnz_rya;
b_subdiv;_boundaries;RUS-PNZ/SAR;;;;b.rus_pnz_sar;
b_subdiv;_boundaries;RUS-PNZ/TAM;;;;b.rus_pnz_tam;
b_subdiv;_boundaries;RUS-PNZ/ULY;;;;b.rus_pnz_uly;
b_subdiv;_boundaries;RUS-PSK/SMO;;;;b.rus_psk_smo;
b_subdiv;_boundaries;RUS-PSK/TVE;;;;b.rus_psk_tve;
b_subdiv;_boundaries;RUS-ROS/STA;;;;b.rus_ros_sta;
b_subdiv;_boundaries;RUS-ROS/VGG;;;;b.rus_ros_vgg;
b_subdiv;_boundaries;RUS-ROS/VOR;;;;b.rus_ros_vor;
b_subdiv;_boundaries;RUS-RYA/TAM;;;;b.rus_rya_tam;
b_subdiv;_boundaries;RUS-RYA/TUL;;;;b.rus_rya_tul;
b_subdiv;_boundaries;RUS-RYA/VLA;;;;b.rus_rya_vla;
b_subdiv;_boundaries;RUS-SA/ZAB;;;;b.rus_sa_zab;
b_subdiv;_boundaries;RUS-SAM/SAR;;;;b.rus_sam_sar;
b_subdiv;_boundaries;RUS-SAM/TA;;;;b.rus_sam_ta;
b_subdiv;_boundaries;RUS-SAM/ULY;;;;b.rus_sam_uly;
b_subdiv;_boundaries;RUS-SAR/TAM;;;;b.rus_sar_tam;
b_subdiv;_boundaries;RUS-SAR/ULY;;;;b.rus_sar_uly;
b_subdiv;_boundaries;RUS-SAR/VGG;;;;b.rus_sar_vgg;
b_subdiv;_boundaries;RUS-SAR/VOR;;;;b.rus_sar_vor;
b_subdiv;_boundaries;RUS-SE/STA;;;;b.rus_se_sta;
b_subdiv;_boundaries;RUS-SMO/TVE;;;;b.rus_smo_tve;
b_subdiv;_boundaries;RUS-SVE/TYU;;;;b.rus_sve_tyu;
b_subdiv;_boundaries;RUS-TA/UD;;;;b.rus_ta_ud;
b_subdiv;_boundaries;RUS-TA/ULY;;;;b.rus_ta_uly;
b_subdiv;_boundaries;RUS-TAM/VOR;;;;b.rus_tam_vor;
b_subdiv;_boundaries;RUS-TOM/TYU;;;;b.rus_tom_tyu;
b_subdiv;_boundaries;RUS-TVE/VLG;;;;b.rus_tve_vlg;
b_subdiv;_boundaries;RUS-TVE/YAR;;;;b.rus_tve_yar;
b_subdiv;_boundaries;RUS-VGG/VOR;;;;b.rus_vgg_vor;
b_subdiv;_boundaries;RUS-VLA/YAR;;;;b.rus_vla_yar;
b_subdiv;_boundaries;RUS-VLG/YAR;;;;b.rus_vlg_yar;
b_subdiv;_boundaries;RUS-KB/STA;;;;b.rus_kb_sta;
b_subdiv;_boundaries;KAZ-AKT/MAN;;;;b.kaz_akt_man;
b_subdiv;_boundaries;KAZ-ATY/MAN;;;;b.kaz_aty_man;
b_subdiv;_boundaries;KAZ-AKT/ATY;;;;b.kaz_akt_aty;
b_subdiv;_boundaries;KAZ-ATY/ZAP;;;;b.kaz_aty_zap;
b_subdiv;_boundaries;KAZ-AKT/ZAP;;;;b.kaz_akt_zap;
