systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_water;_boundaries;B345;;;JPN-Kyushu/PAC;b.345;
b_water;_boundaries;B346;;;JPN-Shikkoku/PAC;b.346;
b_water;_boundaries;B347;;;JPN-Honshu/PAC;b.347;
b_water;_boundaries;B348;;;JPN-Hokkaido/PAC;b.348;
b_water;_boundaries;B352;;;RUS-?/PAC;b.352;
b_water;_boundaries;B353;;;RUS-Ostrov Urup/PAC;b.353;
b_water;_boundaries;B355;;;RUS-Paramushi/PAC;b.355;
b_water;_boundaries;B356;;;RUS-Bol Shantar/PAC;b.356;
b_water;_boundaries;B357;;;RUS-Karaginskiy/PAC;b.357;
b_water;_boundaries;B358;;;RUS-Sakhalin/PAC;b.358;
b_water;_boundaries;B359;;;RUS-?/ARC;b.359;
b_water;_boundaries;B360;;;RUS-?/ARC;b.360;
b_water;_boundaries;B361;;;RUS-Bol Lyakhvskiy/ARC;b.361;
b_water;_boundaries;B362;;;RUS-Mal Lyakhovskuy/ARC;b.362;
b_water;_boundaries;B363;;;RUS-Novaya Sibir/ARC;b.363;
b_water;_boundaries;B364;;;RUS-Kotelnyy/ARC;b.364;
b_water;_boundaries;B365;;;RUS-Diksonskiy/ARC;b.365;
b_water;_boundaries;B366;;;RUS-Oktyabrskoy Rev/ARC;b.366;
b_water;_boundaries;B367;;;RUS-Novaya Zemlya/ARC;b.367;
b_water;_boundaries;B368;;;RUS-Kolguev/ARC;b.368;
b_water;_boundaries;B369;;;?/ARC;b.369;
b_water;_boundaries;B370;;;?/ARC;b.370;
b_water;_boundaries;B371;;;?/ARC;b.371;
b_water;_boundaries;B372;;;RUS-Zemlya Aleksandry/ARC;b.372;
b_water;_boundaries;B373;;;SJM/ARC;b.373;
b_water;_boundaries;B374;;;FRO/ARC;b.374;
b_water;_boundaries;B377;;;GRB-SCT-Herns/ARC;b.377;
b_water;_boundaries;B381;;;SWE-Gotland/Baltic;b.381;
b_water;_boundaries;B382;;;EST-Saaremaa/Baltic;b.382;
b_water;_boundaries;B383;;;EST-Hiiumaa/Baltic;b.383;
b_water;_boundaries;B384;;;GBR/North,ATL;b.384;
b_water;_boundaries;B385;;;IRL,GBR-NIR/ATL;b.385;
b_water;_boundaries;B386;;;FRA-Corse/Mediterranean;b.386;
b_water;_boundaries;B387;;;ITA-Sardegna/Mediterranean;b.387;
b_water;_boundaries;B388;;;ITA-Sicilia/Mediterranean;b.388;
b_water;_boundaries;B389;;;GRC-Peloponnesus/Mediterranean;b.389;
b_water;_boundaries;B390;;;GRC-Crete/Mediterranean;b.390;
b_water;_boundaries;B391;;;CYP/Mediterranean;b.391;
b_water;_boundaries;B393;;;GRC-Rodos/Mediterranean;b.393;
b_water;_boundaries;B401;;;GNQ-Bioko/ATL;b.401;
b_water;_boundaries;B402;;;AUS/SOU;b.402;
b_water;_boundaries;B403;;;AUS/PAC;b.403;
b_water;_boundaries;B404;;;AUS/Indian;b.404;
b_water;_boundaries;B405;;;AUS-Melville/Indian;b.405;
b_water;_boundaries;B406;;;AUS-Kangaroo/Indian;b.406;
b_water;_boundaries;B407;;;AUS-TAS/SOU;b.407;
b_water;_boundaries;B408;;;NZL-North/PAC;b.408;
b_water;_boundaries;B409;;;NZL-South/SOU;b.409;
b_water;_boundaries;B410;;;NZL-Rakiura/SOU;b.410;
b_water;_boundaries;B411;;;IDN-Sumatra/Indian;b.411;
b_water;_boundaries;B412;;;IDN-Jakarta/Indian;b.412;
b_water;_boundaries;B413;;;IDN-Bali/Indian;b.413;
b_water;_boundaries;B414;;;IDN-Nusa Tenggara/Indian;b.414;
b_water;_boundaries;B415;;;IDN/Indian;b.415;
b_water;_boundaries;B416;;;TLS-Wetar/Banda;b.416;
b_water;_boundaries;B417;;;IDN-Pulau Sumba/Indian;b.417;
b_water;_boundaries;B418;;;TLS/Indian;b.418;
b_water;_boundaries;B419;;;IDN-Pulau Larat/Indian;b.419;
b_water;_boundaries;B420;;;IDN-Pulau Wokam/Indian;b.420;
b_water;_boundaries;B421;;;IDN/Indian;b.421;
b_water;_boundaries;B422;;;IDN-Belitung/Java;b.422;
b_water;_boundaries;B424;;;IDN,MYS,BRN/Java,Sulu;b.424;
b_water;_boundaries;B425;;;IDN-Sulawesi/Banda;b.425;
b_water;_boundaries;B426;;;IDN-Maluku/Molucca;b.426;
b_water;_boundaries;B427;;;IDN-Pulau Buru/Banda;b.427;
b_water;_boundaries;B428;;;IDN-Maluku/Banda;b.428;
b_water;_boundaries;B430;;;IDN-Obira/Molucca;b.430;
b_water;_boundaries;B431;;;IDN/Halmahera;b.431;
b_water;_boundaries;B432;;;IDN/PAC;b.432;
b_water;_boundaries;B433;;;IDN,PNG/Arafura;b.433;
b_water;_boundaries;B434;;;IDN,PNH/PAC;b.434;
b_water;_boundaries;B435;;;PHL-Luzon/Philippine Sea;b.435;
b_water;_boundaries;B436;;;PHL-Palawan/Sulu;b.436;
b_water;_boundaries;B437;;;PHL-Mindoro/Mindoro;b.437;
b_water;_boundaries;B438;;;PHL-Samar/PAC;b.438;
b_water;_boundaries;B439;;;PHL-Panay/Sulu;b.439;
b_water;_boundaries;B440;;;PHL-Mindanao/Celebes;b.440;
b_water;_boundaries;B441;;;PNG-New Britain/PAC;b.441;
b_water;_boundaries;B443;;;PNG-New Ireland/PAC;b.443;
b_water;_boundaries;B444;;;PNG-Bougainville/PAC;b.444;
b_water;_boundaries;B449;;;SLB-Guadalcanal/PAC;b.449;
b_water;_boundaries;B450;;;SLB-San Cristobal/PAC;b.450;
