systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
boundaries;_boundaries;B722;4;(32.65,-115.71);;b.722;
boundaries;_boundaries;B723;13;(31.70,-110.22);;b.723;
boundaries;_boundaries;B724;30;(49.00,-108.65);;b.724;
boundaries;_boundaries;B725;3;(49.32,-95.14);;b.725;
boundaries;_boundaries;B726;5;(45.01,-73.05);;b.726;
boundaries;_boundaries;B727;42;(45.62,-70.68);;b.727;
boundaries;_boundaries;B728;3;(46.85,-69.76);;b.728;
boundaries;_boundaries;B729;2;(46.51,-67.78);;b.729;
boundaries;_boundaries;B730;16;(42.00,-117.51);;b.730;
boundaries;_boundaries;B731;3;(46.00,-117.99);;b.731;
boundaries;_boundaries;B732;7;(36.87,-117.08);;b.732;
boundaries;_boundaries;B733;4;(40.56,-120.00);;b.733;
boundaries;_boundaries;B734;7;(39.02,-114.05);;b.734;
boundaries;_boundaries;B735;3;(42.94,-117.03);;b.735;
boundaries;_boundaries;B736;4;(47.60,-117.03);;b.736;
boundaries;_boundaries;B737;21;(37.00,-104.03);;b.737;
boundaries;_boundaries;B738;10;(41.00,-106.51);;b.738;
boundaries;_boundaries;B739;75;(44.88,-112.81);;b.739;
boundaries;_boundaries;B740;73;(46.76,-114.95);;b.740;
boundaries;_boundaries;B741;5;(43.00,-111.05);;b.741;
boundaries;_boundaries;B742;8;(45.00,-107.51);;b.742;
boundaries;_boundaries;B743;11;(36.03,-109.05);;b.743;
boundaries;_boundaries;B744;16;(34.35,-102.68);;b.744;
boundaries;_boundaries;B745;2;(36.75,-103.00);;b.745;
boundaries;_boundaries;B746;5;(39.00,-102.05);;b.746;
boundaries;_boundaries;B747;5;(43.00,-104.05);;b.747;
boundaries;_boundaries;B748;5;(47.00,-104.03);;b.748;
boundaries;_boundaries;B749;8;(40.00,-98.55);;b.749;
boundaries;_boundaries;B750;7;(43.00,-101.08);;b.750;
boundaries;_boundaries;B751;9;(45.93,-100.07);;b.751;
boundaries;_boundaries;B752;3;(32.86,-94.05);;b.752;
boundaries;_boundaries;B753;9;(36.07,-94.54);;b.753;
boundaries;_boundaries;B754;4;(44.45,-96.45);;b.754;
boundaries;_boundaries;B755;4;(33.01,-92.55);;b.755;
boundaries;_boundaries;B756;6;(36.50,-92.46);;b.756;
boundaries;_boundaries;B757;2;(36.00,-90.04);;b.757;
boundaries;_boundaries;B758;5;(40.59,-93.90);;b.758;
boundaries;_boundaries;B759;7;(43.50,-93.98);;b.759;
boundaries;_boundaries;B760;4;(31.00,-90.60);;b.760;
boundaries;_boundaries;B761;5;(31.00,-86.46);;b.761;
boundaries;_boundaries;B762;4;(30.64,-83.52);;b.762;
boundaries;_boundaries;B763;8;(33.14,-88.29);;b.763;
boundaries;_boundaries;B764;3;(33.99,-85.41);;b.764;
boundaries;_boundaries;B765;3;(35.00,-89.17);;b.765;
boundaries;_boundaries;B766;6;(34.99,-85.55);;b.766;
boundaries;_boundaries;B767;18;(35.00,-81.57);;b.767;
